id,dutch_address,documented_residence,current_age,own_income,total_income,total_assets,first_home_equity,eligible_other_assistance,imprisoned_or_detained,work_obligation_exemption,other_adults_in_household,children,has_partner
1,true,true,59,2134,3763,10555,0,false,false,false,1,1,true
2,true,true,43,976,976,9063,0,false,false,true,1,1,true
3,true,false,48,1044,1044,39131,0,false,false,false,1,1,false
4,true,true,58,584,584,13901,0,false,false,true,2,0,false
5,true,true,52,546,546,38505,0,false,false,false,1,0,false
6,true,true,27,731,731,23734,0,false,false,false,0,2,false
7,true,true,64,0,485,15252,0,false,false,false,1,1,true
8,true,true,29,0,0,21029,0,false,false,false,0,1,false
9,true,true,45,712,712,9026,0,false,false,true,1,1,false
10,true,true,66,649,649,11638,0,false,false,false,0,1,false
11,true,true,65,0,0,10346,251018,false,false,false,2,1,false
12,true,true,55,0,0,11896,511287,false,false,false,0,1,false
13,true,true,58,0,675,8408,0,false,false,false,0,1,true
14,true,true,36,0,0,13166,0,false,false,false,0,1,false
15,true,true,45,653,653,9405,0,false,false,false,1,0,false
16,true,true,52,506,506,27706,0,false,false,false,0,0,false
17,true,true,49,591,591,23092,0,false,false,false,1,2,false
18,true,true,48,0,0,13203,485854,false,false,false,1,2,true
19,true,true,62,1606,1606,21649,0,false,false,false,0,1,false
20,true,true,55,989,989,12307,0,false,false,false,1,1,false
21,true,true,67,1025,2864,20533,0,false,false,true,2,0,true
22,true,true,55,331,1323,11001,346170,false,false,false,1,1,true
23,true,true,28,0,0,20747,0,false,false,false,1,1,false
24,true,true,63,0,854,10859,0,false,false,false,3,0,true
25,true,true,52,610,1016,27512,0,false,false,false,1,1,true
26,true,true,46,402,402,22372,210905,false,false,false,1,1,false
27,false,true,46,678,678,9960,0,false,false,false,0,1,true
28,true,true,62,1167,1167,34450,490814,false,false,false,0,1,false
29,true,true,65,0,1088,11110,0,false,false,false,1,1,true
30,true,true,65,0,0,16057,0,false,false,true,1,2,false
31,true,true,57,844,844,8744,0,false,false,false,2,0,false
32,true,true,45,91,91,19848,323549,false,false,true,0,0,true
33,true,true,63,0,0,15944,0,false,false,false,1,2,false
34,true,true,52,448,448,19405,0,false,false,true,0,0,false
35,true,true,55,1054,1054,16158,0,false,false,false,0,1,false
36,true,true,58,0,0,14894,0,false,false,true,2,0,false
37,true,true,39,239,239,4858,0,false,false,true,0,0,false
38,true,true,54,642,642,12325,0,false,false,true,0,0,true
39,true,true,60,883,883,16402,0,false,false,false,1,0,false
40,true,true,66,1320,1320,13814,0,false,false,false,0,0,false
41,true,true,56,531,531,20028,0,false,false,false,2,0,false
42,true,true,65,487,487,18530,0,false,false,false,1,0,false
43,true,true,37,1266,1266,13815,0,false,false,false,1,3,true
44,true,true,64,1202,2022,6003,0,false,false,false,2,2,true
45,true,true,35,0,147,25669,457799,false,false,false,0,1,true
46,true,true,54,1266,1266,20749,0,false,false,true,3,1,false
47,true,true,62,754,754,9070,0,false,false,false,1,0,false
48,true,true,47,205,1349,17540,0,false,false,true,0,1,true
49,true,true,56,1048,1048,22261,0,false,false,false,0,2,false
50,true,true,53,716,1575,13204,243667,false,false,false,0,0,true
51,true,true,35,0,0,22990,0,false,false,false,1,2,false
52,true,true,55,370,1767,41074,0,false,false,false,1,1,true
53,true,true,45,496,496,11349,0,false,false,false,0,2,true
54,true,true,42,0,0,16270,0,false,false,false,0,1,false
55,true,true,41,0,0,13052,0,false,false,false,0,1,false
56,true,true,41,274,274,12592,0,false,false,false,1,0,true
57,true,true,44,789,1774,6851,0,false,false,false,1,1,true
58,true,true,65,0,0,14997,563861,false,false,true,1,1,false
59,true,true,38,236,236,6771,0,false,false,true,1,1,false
60,true,true,50,1517,1517,14714,0,false,false,false,2,0,true
61,true,true,49,513,1421,12541,0,false,false,false,2,0,true
62,true,true,43,898,898,12679,0,false,false,true,0,1,false
63,true,true,61,1427,1804,25760,0,false,false,false,1,0,true
64,true,true,36,411,411,24681,0,false,false,true,1,1,false
65,true,true,29,522,522,39454,0,false,false,true,1,3,false
66,true,true,46,713,713,51613,0,false,false,false,1,1,false
67,true,true,54,1189,1189,21728,326332,false,false,false,0,0,false
68,true,true,42,589,1506,23765,0,false,false,false,1,2,true
69,true,true,58,150,843,93875,371646,false,false,true,0,3,true
70,true,true,56,304,304,47173,0,false,false,false,1,0,false
71,true,true,55,0,0,12927,0,false,false,true,1,1,false
72,true,true,41,317,1496,5919,0,false,false,true,3,0,true
73,true,true,64,275,275,11232,0,false,false,true,0,1,false
74,true,true,47,0,0,19909,0,false,false,false,1,1,false
75,true,true,50,1292,2753,4383,0,false,false,false,1,0,true
76,true,true,22,448,1049,19916,0,false,false,true,0,2,true
77,true,true,58,1046,1046,15217,0,false,false,false,0,0,false
78,true,true,44,851,851,24946,0,false,false,false,0,1,false
79,false,true,66,494,494,22116,0,false,false,true,1,1,false
80,true,true,42,480,480,14633,0,false,false,false,0,0,false
81,true,true,62,693,693,22857,0,false,false,false,0,0,false
82,true,true,52,706,1520,37211,0,false,false,false,0,1,true
83,true,true,52,0,0,10429,0,false,false,false,0,1,false
84,true,true,31,840,840,17895,0,false,false,false,1,1,false
85,true,true,37,0,0,21753,0,false,false,false,2,1,false
86,true,true,61,1153,1153,8922,437629,false,false,true,0,0,false
87,true,true,62,832,832,19854,0,false,false,false,0,1,false
88,false,true,64,922,1799,8933,0,false,false,false,2,0,true
89,true,true,53,876,876,28219,0,false,false,true,0,2,false
90,true,true,45,1302,2294,10216,0,false,false,false,2,0,true
91,true,true,54,1065,1065,11283,0,false,false,false,0,0,false
92,true,true,62,765,765,19433,0,false,false,false,1,1,false
93,true,true,50,331,840,9648,446259,false,false,false,0,1,true
94,true,true,35,0,0,8304,0,false,false,true,1,0,false
95,true,true,46,185,185,20584,0,false,false,true,1,2,false
96,true,true,38,863,863,15703,344277,false,false,false,0,2,false
97,true,true,52,407,407,30631,0,false,false,false,1,0,false
98,true,true,51,668,668,4483,0,false,false,true,0,0,false
99,true,true,57,1442,1442,37909,0,false,false,true,0,1,false
100,true,true,48,1674,1877,22751,0,false,false,false,0,0,true
101,true,true,34,1211,1211,32054,0,false,false,false,1,0,false
102,true,true,40,449,449,34717,0,false,false,false,2,1,false
103,true,true,44,1369,1369,17134,0,false,false,false,0,0,false
104,true,true,43,644,644,18068,0,false,false,false,0,1,false
105,true,true,37,0,0,18670,0,false,false,true,0,1,false
106,true,true,49,0,0,30048,377328,false,false,true,1,1,false
107,true,true,44,447,447,3267,0,false,false,true,1,1,false
108,true,true,41,0,0,12096,0,false,false,true,0,0,false
109,true,true,62,766,1409,5724,0,false,false,false,0,1,true
110,true,true,52,1436,1436,10378,0,false,false,false,1,0,false
111,true,true,50,790,790,14109,0,false,false,false,1,0,false
112,true,true,58,0,1364,24261,0,false,false,false,1,2,true
113,true,true,46,760,760,20772,0,false,false,false,0,1,false
114,true,true,60,1444,1792,18636,0,false,false,true,1,0,true
115,true,true,59,0,0,27720,0,false,false,false,1,0,false
116,true,true,49,0,0,17491,0,false,false,false,0,1,false
117,true,true,66,1773,1773,15685,368091,false,false,false,1,0,false
118,true,true,43,434,434,27642,0,false,false,false,1,0,false
